ID,Nombre,Descripción,Región (CCAA),Año,Vertical,Subvertical,Tecnología,ODS principal,Tipo de impacto,Indicador de impacto,Escala de impacto,Población beneficiada / target,Diversidad del equipo,Nivel de madurez,Inversión total (€),Contacto,Web,Fuente de información
1,Plant on Demand,"Plataforma de e-commerce y gestión para pequeños productores ecológicos, que automatiza procesos, les permite abrir tienda online y cooperar con productores locales (unificando logística y almacenaje).",Madrid (Madrid),2018,Agrotech,Agricultura (digitalización),Herramientas digitales (plataforma SaaS),ODS 12 – Producción y consumo responsables,Ambiental/Social (combinado),+20% ventas producto local (estimado),Nacional,Pequeños agricultores ecológicos,N/D,Growth,~1.36 M€,N/D,plantondemand.com,ElReferente
2,La Hormiga Verde,"Centro Especial de Empleo que gestiona residuos electrónicos (RAEE), desde su recogida hasta su valorización; crea empleo estable para trabajadores con discapacidad.",Extremadura (Badajoz),2018,Economía Circular,Gestión de residuos,Reciclaje de RAEE,ODS 8 – Trabajo decente y crecimiento económico,Social/Ambiental,200 toneladas RAEE recicladas (2022),Regional,Personas con discapacidad (empleados),~40% mujeres (estimado),Growth,~40 k€,N/D,lahormigaverde.org,ElReferente
3,Agrotech Innovative Solutions,Desarrollo de soluciones productivas y medioambientales para el sector ganadero. Ha creado un sistema de tratamiento de purines que evapora el agua y concentra nutrientes usando energías renovables.,Cataluña (Lleida),2020,Agrotech,Ganadería (residuos),"Energía renovable, Biotecnología",ODS 13 – Acción por el clima,Ambiental,80% reducción de purines vertidos,Nacional,Ganaderos de porcino,N/D,MVP,~2.17 M€,N/D,agrotechinnovativesolutions.com,ElReferente
4,ArthropoTech,Especializada (desde la Universidad de Murcia) en soluciones personalizadas para distribuidores agroquímicos. Diagnostica resistencias de plagas a tratamientos y ofrece tratamientos adaptados para cultivos hortofrutícolas.,Murcia (Murcia),2020,Agrotech,Protección de cultivos,SaaS (plataforma + sensores),ODS 2 – Hambre cero,Ambiental/Económico,– (Optimización fitosanitaria),Nacional,"Distribuidores agroquímicos, agricultores",N/D,MVP,N/D,N/D,arthropotech.com,ElReferente
5,MOA Foodtech,Combina biotecnología e IA para convertir residuos y subproductos agroalimentarios en una proteína alternativa de alto valor nutricional y 100% sostenible.,Navarra (Navarra),2020,Foodtech,Proteína alternativa,IA + Biotecnología,ODS 12 – Producción y consumo responsables,Ambiental,10+ nuevos alimentos plant-based,Internacional,Industria alimentaria (B2B – ingredientes sostenibles),N/D,Scaleup,~19.45 M€,N/D,moafoodtech.com,ElReferente
6,Generación Agro,Plataforma en línea que conecta agricultores con empresas y profesionales agrícolas. Facilita buscar servicios agrícolas: los agricultores completan un formulario de necesidades y reciben propuestas personalizadas de proveedores.,Castilla–La Mancha (Ciudad Real),2025,Agrotech,Marketplace servicios,Plataforma web,ODS 8 – Trabajo decente y crecimiento económico,Económico,100+ conexiones agrónomos-agricultores logradas,Nacional,Agricultores y proveedores agrícolas,N/D,MVP,N/D,N/D,generacionagro.com,ElReferente
7,ZoomAgri,Plataforma digital de Inspección y Certificación agroalimentaria (TIC) que usa visión por computador para determinar la calidad y variedad de granos y semillas de forma rápida y objetiva.,Comunidad de Madrid (Madrid),2018,Agrotech/Foodtech,Calidad de granos,"Visión artificial, Big Data","ODS 9 – Industria, innovación e infraestructura",Económico,+3 millones de toneladas de grano analizadas,Internacional,"Cadena agroalimentaria global (exportadores, laboratorios)",~20% equipo femenino (aprox.),Scaleup,~9.94 M€,N/D,zoomagri.com,ElReferente
8,Agrouping,"Plataforma tecnológica que replica en línea los mecanismos de los mercados centrales de abasto. Conecta directamente productores de alimentos con minoristas, sin intermediarios, mejorando precios y trazabilidad.",Cataluña (Barcelona),2021,Agrotech/Foodtech,Marketplace B2B alimentario,Inteligencia artificial (optimización logística),ODS 12 – Producción y consumo responsables,Económico/Social,"– (Reducción intermediación, +márgenes agricultores)",Nacional,Pequeños productores y tiendas de alimentación,N/D,Growth,N/D,N/D,agrouping.es,ElReferente
9,Agro4Data,"Aplica IA, ML, IoT en agricultura para impulsar la digitalización y optimizar recursos con predicciones, clasificaciones automáticas y alertas. Ofrece modelos predictivos a agricultores particulares y empresas para mejorar eficiencia.",Comunidad de Madrid (Madrid),2024,Agrotech,Agricultura de precisión,"IoT, IA, Machine Learning","ODS 9 – Industria, innovación e infraestructura",Ambiental/Económico,"– (Ahorro insumos, mejora rendimientos)",Nacional,Agricultores individuales y empresas agrícolas,N/D,MVP,N/D,N/D,agro4data.com,ElReferente
10,KYMI,"Plataforma SaaS que usa IA para optimizar la cadena de suministro "farm-to-fork". Analiza datos en tiempo real para predecir precios y desabastecimientos, ayudando a productores a tomar decisiones informadas, reducir huella de carbono y proteger su rentabilidad.",Comunidad de Madrid (Madrid),2024,Agrotech,Cadena suministro (BI),"Inteligencia Artificial, Big Data",ODS 8 – Trabajo decente y crecimiento económico,Económico,– (Optimización precios y stock),Nacional,Productores agro (toda la cadena alimentaria),N/D,MVP,N/D,N/D,kymi.es,ElReferente
